                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    138,                0.62093,                0.51293,                  1.143,                0.96742,                0.97176,                0.98746,                0.89895,                0.44012,                0.28729,                 1.0218,              0.0032185,              0.0032185,              0.0032185
                    139,                0.63542,                0.53097,                 1.1548,                0.96843,                0.96915,                0.98787,                0.89947,                0.43827,                0.28453,                 1.0203,               0.003169,               0.003169,               0.003169
                    140,                 0.6338,                0.51918,                 1.1562,                0.96543,                 0.9735,                0.98799,                0.90062,                0.43753,                0.28438,                  1.019,              0.0031195,              0.0031195,              0.0031195
                    141,                0.63981,                0.53358,                 1.1613,                0.96535,                0.97065,                0.98772,                0.90187,                 0.4338,                0.28271,                 1.0153,                0.00307,                0.00307,                0.00307
                    142,                0.63478,                0.52788,                 1.1512,                0.96601,                0.96967,                0.98794,                0.90164,                 0.4342,                0.28355,                 1.0165,              0.0030205,              0.0030205,              0.0030205
                    143,                0.62048,                0.51891,                 1.1452,                0.96958,                0.97177,                0.98823,                0.90215,                0.43316,                0.28145,                 1.0146,               0.002971,               0.002971,               0.002971
                    144,                0.63423,                0.51364,                 1.1564,                0.96597,                0.97415,                0.98833,                0.90252,                0.43146,                0.28049,                 1.0112,              0.0029215,              0.0029215,              0.0029215
                    145,                0.62309,                0.52568,                 1.1489,                0.96974,                0.96976,                 0.9883,                0.90175,                0.43101,                 0.2812,                 1.0113,               0.002872,               0.002872,               0.002872
                    146,                0.62079,                0.51466,                  1.145,                0.97059,                0.96918,                0.98844,                0.90296,                0.42889,                0.27833,                 1.0102,              0.0028225,              0.0028225,              0.0028225
                    147,                0.62464,                 0.5148,                 1.1437,                0.96835,                0.97226,                0.98877,                0.90438,                0.42722,                0.27695,                 1.0083,               0.002773,               0.002773,               0.002773
                    148,                0.62962,                0.52547,                  1.154,                0.96116,                0.97614,                0.98889,                0.90536,                 0.4258,                0.27671,                  1.007,              0.0027235,              0.0027235,              0.0027235
                    149,                0.61733,                0.50786,                 1.1449,                0.96495,                 0.9742,                0.98882,                0.90523,                0.42366,                 0.2768,                 1.0064,               0.002674,               0.002674,               0.002674
                    150,                0.61987,                0.51406,                 1.1427,                0.96941,                0.97088,                0.98866,                0.90748,                0.42124,                0.27665,                 1.0046,              0.0026245,              0.0026245,              0.0026245
                    151,                0.61707,                0.50561,                 1.1437,                 0.9724,                0.96988,                0.98916,                0.90946,                0.42226,                0.27538,                 1.0034,               0.002575,               0.002575,               0.002575
